run,sample_id,pollutant,feature_name,feature_value_raw,feature_value_norm,shap_value,abs_shap,shap_rank_abs,shap_sign,source_category
4,2909,pm10,num_industrial_landuse_500m,0.0,-0.5307933537897446,-0.002191327540383611,0.002191327540383611,22,negative,industrial
4,2909,pm10,num_factory_500m,0.0,-0.13406790694875997,0.0,0.0,23,zero,industrial
4,2920,pm10,Longitude,18.63907,1.015484856118709,1.487941157436434,1.487941157436434,1,positive,geographic_context
4,2920,pm10,Latitude,49.73814,0.8062685088244184,-0.21671312342914764,0.21671312342914764,2,negative,geographic_context
4,2920,pm10,num_roads_1km,434.0,-0.32192141190029283,0.1228193198532916,0.1228193198532916,3,positive,traffic
4,2920,pm10,RH_3yr,83.14571167883211,1.3151703914090063,-0.10094992754569176,0.10094992754569176,4,negative,meteorological_condition
4,2920,pm10,urban,1.0,0.9693384774922439,0.06842352315945037,0.06842352315945037,5,positive,urban_anthropogenic
4,2920,pm10,PopulationDensity,286.3,-0.18548250003651093,0.06575657055742154,0.06575657055742154,6,positive,urban_anthropogenic
4,2920,pm10,Wind_3yr,1.2106204379562044,-1.341853838118218,0.05314667614814174,0.05314667614814174,7,positive,meteorological_condition
4,2920,pm10,ship_density_5km,0.0,-0.332199815255663,0.05016572330092576,0.05016572330092576,8,positive,port_shipping
4,2920,pm10,num_buildings_1km,2510.0,0.15088693548390744,0.041551622229165974,0.041551622229165974,9,positive,urban_anthropogenic
4,2920,pm10,Stability_3yr,0.3347992700729927,0.3347992700729927,0.041550019670890545,0.041550019670890545,10,positive,meteorological_condition
4,2920,pm10,num_roads_500m,103.0,-0.44083452375996957,-0.03387768135155715,0.03387768135155715,11,negative,traffic
4,2920,pm10,traffic,0.0,-0.3281059132780248,-0.025595072527488976,0.025595072527488976,12,negative,traffic
4,2920,pm10,ship_density_10km,0.0,-0.3187453966742202,0.02457453461505002,0.02457453461505002,13,positive,port_shipping
4,2920,pm10,Altitude,353.0,0.38118954642944325,-0.01917775526225569,0.01917775526225569,14,negative,geographic_context
4,2920,pm10,Precip_3yr,2.5417700729927004,0.6433944121949761,-0.018118958564019717,0.018118958564019717,15,negative,meteorological_condition
4,2920,pm10,num_factory_1km,0.0,-0.1735841355973231,0.013875733760005799,0.013875733760005799,16,positive,industrial
4,2920,pm10,num_buildings_500m,539.0,-0.14236184398915944,-0.012024397850267515,0.012024397850267515,17,negative,urban_anthropogenic
4,2920,pm10,num_industrial_landuse_1km,4.0,0.00760689708318876,0.010457894847493985,0.010457894847493985,18,positive,industrial
4,2920,pm10,Temp_3yr,8.099826642335767,-1.4270581759398941,0.009229551388434828,0.009229551388434828,19,positive,meteorological_condition
4,2920,pm10,rural,0.0,-0.5536674263920707,0.008918711915231,0.008918711915231,20,positive,geographic_context
4,2920,pm10,ship_density_1km,0.0,-0.14022768049856174,-0.0047594892596266964,0.0047594892596266964,21,negative,port_shipping
4,2920,pm10,num_industrial_landuse_500m,0.0,-0.5307933537897446,-0.0035193207878160718,0.0035193207878160718,22,negative,industrial
4,2920,pm10,num_factory_500m,0.0,-0.13406790694875997,0.0,0.0,23,zero,industrial
4,2982,pm10,Longitude,27.37514,1.94198659364552,1.4274659568168429,1.4274659568168429,1,positive,geographic_context
4,2982,pm10,Latitude,42.51889,-0.6929567756361699,0.46865665840510057,0.46865665840510057,2,positive,geographic_context
4,2982,pm10,Altitude,6.0,-0.9091407966476716,0.24310183341152694,0.24310183341152694,3,positive,geographic_context
4,2982,pm10,PopulationDensity,53.8,-0.3981646908833262,-0.11065913774599626,0.11065913774599626,4,negative,urban_anthropogenic
4,2982,pm10,Precip_3yr,1.5794890510948905,-0.8007114265998095,0.10058595079587741,0.10058595079587741,5,positive,meteorological_condition
4,2982,pm10,ship_density_10km,1275.0428424410638,3.0966778342308063,-0.08360387713395102,0.08360387713395102,6,negative,port_shipping
4,2982,pm10,num_industrial_landuse_1km,0.0,-0.4694542199910783,-0.08124876832284701,0.08124876832284701,7,negative,industrial
4,2982,pm10,urban,1.0,0.9693384774922439,0.07070305135519335,0.07070305135519335,8,positive,urban_anthropogenic
4,2982,pm10,RH_3yr,74.82475364963503,-0.20079593645371263,0.07051736437541552,0.07051736437541552,9,positive,meteorological_condition
4,2982,pm10,num_roads_1km,389.0,-0.4117211486777776,0.06917826061143265,0.06917826061143265,10,positive,traffic
4,2982,pm10,ship_density_5km,0.0,-0.332199815255663,0.04955451758909494,0.04955451758909494,11,positive,port_shipping
4,2982,pm10,num_buildings_1km,22.0,-0.9161617755221221,0.04351295920300324,0.04351295920300324,12,positive,urban_anthropogenic
4,2982,pm10,num_roads_500m,245.0,0.50438707250748,0.04329514918685089,0.04329514918685089,13,positive,traffic
4,2982,pm10,num_buildings_500m,5.0,-0.8805081677578072,0.019469353249137757,0.019469353249137757,14,positive,urban_anthropogenic
4,2982,pm10,Wind_3yr,2.337892335766423,-0.1305952505326249,-0.018595223655934186,0.018595223655934186,15,negative,meteorological_condition
4,2982,pm10,traffic,0.0,-0.3281059132780248,-0.016954899823159786,0.016954899823159786,16,negative,traffic
4,2982,pm10,Temp_3yr,14.501240875912409,0.6926273338470949,-0.016400545754509846,0.016400545754509846,17,negative,meteorological_condition
4,2982,pm10,Stability_3yr,0.2224726277372262,0.2224726277372262,0.011636579976996395,0.011636579976996395,18,positive,meteorological_condition
4,2982,pm10,ship_density_1km,0.0,-0.14022768049856174,-0.007195676131458602,0.007195676131458602,19,negative,port_shipping
4,2982,pm10,num_factory_1km,0.0,-0.1735841355973231,0.0058777747006724754,0.0058777747006724754,20,positive,industrial
4,2982,pm10,rural,0.0,-0.5536674263920707,0.0055628195729250695,0.0055628195729250695,21,positive,geographic_context
4,2982,pm10,num_industrial_landuse_500m,0.0,-0.5307933537897446,-0.0035909146702055366,0.0035909146702055366,22,negative,industrial
4,2982,pm10,num_factory_500m,0.0,-0.13406790694875997,0.0,0.0,23,zero,industrial
4,3008,pm10,Longitude,26.03364,1.7997141438034037,1.0065415245776026,1.0065415245776026,1,positive,geographic_context
